Type,Status,Error_Message,PFR_Volume_m3,PFR_FeedTemp_K,Col_Stages,Col_Reflux,Conversion_%,nC5_Out_mol_s,iC5_Out_mol_s,Heat_Duty_kW,Outlet_Temp_K,Col_nC5_Purity_%,Col_iC5_Purity_%,Condenser_Duty_kW,Reboiler_Duty_kW
PFR,Success,,2.0,340.0,,,0.0,0.0,0.0,0.0,298.15,,,,
PFR,Success,,2.0,350.0,,,0.0,0.0,0.0,0.0,298.15,,,,
PFR,Success,,2.0,360.0,,,0.0,0.0,0.0,0.0,298.15,,,,
PFR,Success,,5.0,340.0,,,0.0,0.0,0.0,0.0,298.15,,,,
PFR,Success,,5.0,350.0,,,0.0,0.0,0.0,0.0,298.15,,,,
PFR,Success,,5.0,360.0,,,0.0,0.0,0.0,0.0,298.15,,,,
PFR,Success,,10.0,340.0,,,0.0,0.0,0.0,0.0,298.15,,,,
PFR,Success,,10.0,350.0,,,0.0,0.0,0.0,0.0,298.15,,,,
PFR,Success,,10.0,360.0,,,0.0,0.0,0.0,0.0,298.15,,,,
Column,Success,,,,10.0,1.5,,,,,,50.0,50.0,0.0,0.0
Column,Success,,,,10.0,2.0,,,,,,50.0,50.0,0.0,0.0
Column,Success,,,,10.0,2.5,,,,,,50.0,50.0,0.0,0.0
Column,Success,,,,15.0,1.5,,,,,,50.0,50.0,0.0,0.0
Column,Success,,,,15.0,2.0,,,,,,50.0,50.0,0.0,0.0
Column,Success,,,,15.0,2.5,,,,,,50.0,50.0,0.0,0.0
Column,Success,,,,20.0,1.5,,,,,,50.0,50.0,0.0,0.0
Column,Success,,,,20.0,2.0,,,,,,50.0,50.0,0.0,0.0
Column,Success,,,,20.0,2.5,,,,,,50.0,50.0,0.0,0.0
